action_id,translation,rotation,sparse_count,sparse_pct,dense_count,dense_pct,delta_pct
0,none,none,4487295,9.539255,4348655,9.244529,-0.294726
1,none,yaw_right,60476,0.128562,72593,0.154321,0.025759
2,none,yaw_left,65978,0.140258,79518,0.169042,0.028784
3,none,pitch_up,14579,0.030993,35718,0.075931,0.044938
4,none,pitch_down,11428,0.024294,24449,0.051975,0.027681
5,none,yaw_right_pitch_up,16321,0.034696,36002,0.076534,0.041839
6,none,yaw_right_pitch_down,16195,0.034428,32737,0.069594,0.035166
7,none,yaw_left_pitch_up,15667,0.033305,35490,0.075446,0.042140
8,none,yaw_left_pitch_down,24120,0.051275,46897,0.099695,0.048420
9,forward,none,35088301,74.591983,33298760,70.787712,-3.804271
10,forward,yaw_right,1241195,2.638577,1419858,3.018386,0.379808
11,forward,yaw_left,1231143,2.617208,1487757,3.162728,0.545519
12,forward,pitch_up,148604,0.315908,328494,0.698324,0.382417
13,forward,pitch_down,125975,0.267802,258416,0.549350,0.281548
14,forward,yaw_right_pitch_up,186532,0.396536,477384,1.014840,0.618304
15,forward,yaw_right_pitch_down,215586,0.458301,450643,0.957993,0.499693
16,forward,yaw_left_pitch_up,196984,0.418756,471986,1.003365,0.584609
17,forward,yaw_left_pitch_down,180310,0.383310,421332,0.895683,0.512373
18,backward,none,306678,0.651947,285896,0.607768,-0.044179
19,backward,yaw_right,17848,0.037942,18384,0.039081,0.001139
20,backward,yaw_left,19617,0.041703,20684,0.043971,0.002268
21,backward,pitch_up,9690,0.020599,11936,0.025374,0.004775
22,backward,pitch_down,6789,0.014432,6878,0.014622,0.000189
23,backward,yaw_right_pitch_up,5200,0.011054,9743,0.020712,0.009658
24,backward,yaw_right_pitch_down,4827,0.010261,8282,0.017606,0.007345
25,backward,yaw_left_pitch_up,6691,0.014224,11780,0.025042,0.010818
26,backward,yaw_left_pitch_down,5637,0.011983,9394,0.019970,0.007987
27,right,none,569527,1.210721,524412,1.114814,-0.095907
28,right,yaw_right,47972,0.101981,46890,0.099680,-0.002300
29,right,yaw_left,83258,0.176993,89666,0.190615,0.013622
30,right,pitch_up,9943,0.021137,14443,0.030703,0.009566
31,right,pitch_down,7059,0.015006,8983,0.019096,0.004090
32,right,yaw_right_pitch_up,6305,0.013403,11819,0.025125,0.011722
33,right,yaw_right_pitch_down,8642,0.018371,14680,0.031207,0.012836
34,right,yaw_left_pitch_up,13198,0.028057,24938,0.053014,0.024957
35,right,yaw_left_pitch_down,10665,0.022672,20738,0.044086,0.021414
36,left,none,247920,0.527037,218704,0.464929,-0.062108
37,left,yaw_right,53261,0.113224,52969,0.112603,-0.000621
38,left,yaw_left,29326,0.062342,28755,0.061128,-0.001214
39,left,pitch_up,10051,0.021367,11937,0.025376,0.004009
40,left,pitch_down,5577,0.011856,6062,0.012887,0.001031
41,left,yaw_right_pitch_up,10880,0.023129,19839,0.042174,0.019045
42,left,yaw_right_pitch_down,8144,0.017313,16048,0.034115,0.016803
43,left,yaw_left_pitch_up,7155,0.015210,12769,0.027145,0.011934
44,left,yaw_left_pitch_down,6291,0.013374,11522,0.024494,0.011120
45,forward_right,none,1048212,2.228327,977202,2.077371,-0.150956
46,forward_right,yaw_right,41918,0.089111,44085,0.093717,0.004607
47,forward_right,yaw_left,76335,0.162276,84477,0.179584,0.017309
48,forward_right,pitch_up,6268,0.013325,14206,0.030200,0.016875
49,forward_right,pitch_down,4046,0.008601,9341,0.019857,0.011256
50,forward_right,yaw_right_pitch_up,5629,0.011966,13361,0.028403,0.016437
51,forward_right,yaw_right_pitch_down,6827,0.014513,13890,0.029528,0.015015
52,forward_right,yaw_left_pitch_up,10352,0.022007,27185,0.057791,0.035784
53,forward_right,yaw_left_pitch_down,11480,0.024405,27320,0.058078,0.033673
54,forward_left,none,778608,1.655193,724134,1.539390,-0.115803
55,forward_left,yaw_right,51868,0.110263,52203,0.110975,0.000712
